               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 120,            0.019943,            0.016301,           0.0025208,             0.90282,              0.7799,             0.88616,             0.66508,            0.019071,           0.0098692,           0.0035837,            0.006073,            0.006073,            0.006073
                 121,            0.019828,             0.01701,           0.0024051,             0.79946,             0.84882,             0.87026,             0.65201,            0.018697,           0.0091176,           0.0056098,             0.00604,             0.00604,             0.00604
                 122,            0.019482,            0.015841,           0.0028654,             0.84958,             0.79761,             0.89916,             0.68891,            0.017329,           0.0086586,           0.0079229,            0.006007,            0.006007,            0.006007
                 123,            0.019563,            0.016573,           0.0024395,             0.87864,             0.84861,             0.89647,             0.68338,            0.018057,           0.0089002,           0.0071242,            0.005974,            0.005974,            0.005974
                 124,            0.019281,            0.016276,            0.002457,             0.91892,             0.78587,             0.87449,             0.65881,            0.019185,           0.0095661,             0.00419,            0.005941,            0.005941,            0.005941
                 125,            0.019966,            0.017118,           0.0020888,             0.87656,             0.75281,             0.85173,              0.6464,            0.018493,            0.009656,           0.0044769,            0.005908,            0.005908,            0.005908
                 126,            0.018789,            0.015696,           0.0020793,             0.78159,             0.82496,             0.85542,             0.66283,             0.01822,           0.0092438,           0.0028177,            0.005875,            0.005875,            0.005875
                 127,            0.019432,            0.016926,            0.002284,             0.88692,             0.76554,             0.86918,             0.66875,            0.017922,            0.009226,           0.0030016,            0.005842,            0.005842,            0.005842
                 128,            0.018798,            0.015757,            0.002658,             0.85751,             0.81344,             0.86451,             0.66053,            0.019387,            0.010667,           0.0071567,            0.005809,            0.005809,            0.005809
                 129,            0.019239,            0.015855,            0.002416,             0.82873,             0.83996,             0.87278,             0.66277,            0.019326,            0.010022,           0.0029249,            0.005776,            0.005776,            0.005776
                 130,            0.019871,            0.016875,           0.0021469,             0.86442,             0.79343,             0.86825,             0.66407,            0.017854,           0.0091634,           0.0042655,            0.005743,            0.005743,            0.005743
                 131,            0.019372,            0.015707,           0.0021206,             0.86724,             0.78161,             0.85612,             0.66279,            0.017553,            0.009396,           0.0044718,             0.00571,             0.00571,             0.00571
                 132,            0.019044,            0.015843,           0.0023799,             0.92914,             0.76619,             0.85991,             0.66373,            0.018882,           0.0097372,           0.0039341,            0.005677,            0.005677,            0.005677
                 133,            0.019487,            0.016156,           0.0019423,             0.87459,             0.82092,             0.86231,             0.67908,            0.017649,           0.0092118,           0.0035456,            0.005644,            0.005644,            0.005644
                 134,            0.019256,            0.015042,           0.0026724,             0.90759,              0.8095,             0.86913,              0.6952,            0.018221,           0.0091946,           0.0030053,            0.005611,            0.005611,            0.005611
                 135,            0.019544,            0.016905,           0.0022089,             0.89262,             0.82985,             0.87544,             0.67707,            0.017594,           0.0090973,           0.0026482,            0.005578,            0.005578,            0.005578
                 136,            0.019151,            0.016208,           0.0024538,             0.87332,             0.82654,             0.86127,             0.67254,             0.01802,           0.0090646,           0.0040695,            0.005545,            0.005545,            0.005545
                 137,            0.018884,            0.016615,           0.0023061,             0.88934,             0.82989,             0.88724,             0.69428,            0.016831,           0.0091775,           0.0023987,            0.005512,            0.005512,            0.005512
                 138,            0.018921,            0.015505,           0.0018569,              0.8088,             0.84917,              0.8683,             0.67411,            0.019017,            0.009844,           0.0056023,            0.005479,            0.005479,            0.005479
                 139,             0.02002,            0.016668,           0.0020867,             0.90218,             0.82511,             0.87442,             0.66733,            0.019539,            0.010104,           0.0035182,            0.005446,            0.005446,            0.005446
                 140,            0.017585,            0.014804,           0.0023462,             0.90144,             0.78203,              0.8592,             0.68137,            0.018616,           0.0094879,           0.0056762,            0.005413,            0.005413,            0.005413
                 141,            0.018676,            0.016745,           0.0017073,             0.87283,             0.79678,              0.8564,             0.67587,            0.018974,           0.0095195,           0.0044355,             0.00538,             0.00538,             0.00538
                 142,            0.018487,            0.015421,           0.0015763,              0.8159,             0.79138,             0.83112,               0.649,            0.019858,           0.0098415,           0.0046584,            0.005347,            0.005347,            0.005347
                 143,            0.018285,            0.015438,           0.0022246,             0.85975,             0.79204,             0.84848,             0.65887,            0.018542,           0.0098171,           0.0032112,            0.005314,            0.005314,            0.005314
                 144,            0.018283,            0.015552,            0.002193,             0.91495,             0.80059,             0.88375,             0.68097,            0.017589,           0.0093863,           0.0025099,            0.005281,            0.005281,            0.005281
                 145,            0.017911,            0.015531,           0.0022595,             0.93931,             0.79514,             0.88454,             0.67656,            0.018427,           0.0096364,           0.0020171,            0.005248,            0.005248,            0.005248
                 146,            0.018289,            0.014673,           0.0025403,              0.9044,             0.78961,             0.87262,             0.67983,            0.017598,           0.0093284,           0.0022089,            0.005215,            0.005215,            0.005215
